state,county,age_adjusted_rate_per_100_000,state_abbrv
Maryland,Prince Georges,391.2,MD
Missouri,Vernon,391.2,MO
Colorado,Garfield,391.1,CO
Alabama,Tuscaloosa,391.0,AL
Nebraska,Dakota,390.8,NE
Colorado,Delta,390.8,CO
South Dakota,Hanson,390.8,SD
Washington,Kittitas,390.7,WA
North Dakota,LaMoure,390.6,ND
Texas,Terry,390.6,TX
Colorado,Boulder,390.5,CO
Montana,Granite,390.3,MT
Pennsylvania,Fulton,390.3,PA
Missouri,Caldwell,390.2,MO
California,Fresno,390.1,CA
Michigan,Mackinac,390.0,MI
Arizona,Pinal,389.8,AZ
Washington,Cowlitz,389.4,WA
Oregon,Curry,389.4,OR
Colorado,El Paso,389.4,CO
Texas,Starr,389.4,TX
Virginia,Albemarle,389.2,VA
Washington,Columbia,388.8,WA
Florida,Walton,388.7,FL
Michigan,Allegan,388.7,MI
Washington,Walla Walla,388.2,WA
Alabama,Coosa,388.1,AL
Montana,Toole,387.8,MT
Oklahoma,Harmon,387.7,OK
Texas,Lamb,387.6,TX
South Carolina,Aiken,387.6,SC
Oregon,Lincoln,387.6,OR
Texas,El Paso,387.5,TX
Nebraska,Pawnee,387.4,NE
Colorado,Teller,387.2,CO
Oklahoma,Ellis,387.1,OK
Washington,Klickitat,387.0,WA
Missouri,DeKalb,387.0,MO
Florida,Jefferson,386.9,FL
Michigan,Lenawee,386.9,MI
Colorado,Montrose,386.9,CO
Colorado,Fremont,386.8,CO
Wyoming,Fremont,386.7,WY
Utah,Garfield,386.6,UT
Wyoming,Campbell,386.6,WY
North Dakota,Burke,386.2,ND
Montana,Park,386.2,MT
Utah,Sanpete,386.2,UT
Texas,Moore,386.1,TX
Oregon,Wallowa,385.9,OR
Illinois,Hamilton,385.7,IL
Florida,Monroe,385.7,FL
New Mexico,Bernalillo,385.2,NM
Texas,Donley,385.0,TX
Idaho,Power,384.7,ID
California,San Francisco,384.5,CA
Michigan,Marquette,384.5,MI
South Dakota,Meade,384.3,SD
Oregon,Umatilla,384.3,OR
Texas,Deaf Smith,384.3,TX
Alabama,Choctaw,384.3,AL
Texas,Andrews,384.2,TX
Colorado,Baca,384.2,CO
Oklahoma,Major,384.1,OK
California,Santa Clara,384.0,CA
Texas,Nueces,383.6,TX
Idaho,Bear Lake,383.3,ID
Virginia,Accomack,383.2,VA
Wisconsin,Dunn,383.1,WI
Virginia,Montgomery,383.0,VA
Nevada,Nye,382.8,NV
South Dakota,Custer,382.6,SD
Missouri,Sullivan,382.5,MO
Texas,Frio,382.3,TX
Colorado,Elbert,381.9,CO
Idaho,Custer,381.8,ID
North Dakota,Towner,381.6,ND
Arizona,Yuma,381.6,AZ
Nebraska,Deuel,381.4,NE
Texas,Hale,381.3,TX
Colorado,Moffat,381.1,CO
South Dakota,Lawrence,380.0,SD
North Dakota,Golden Valley,379.6,ND
Oklahoma,Beaver,379.6,OK
Texas,San Saba,379.5,TX
New Mexico,Los Alamos,379.1,NM
Michigan,Alger,379.0,MI
California,Merced,378.9,CA
Arkansas,Hempstead,378.8,AR
New Jersey,Hudson,378.8,NJ
Washington,Clark,378.5,WA
Idaho,Fremont,378.2,ID
North Dakota,Kidder,378.1,ND
Oklahoma,Love,377.9,OK
Montana,Judith Basin,377.7,MT
Texas,Hemphill,377.4,TX
Utah,Grand,377.3,UT
Virginia,Appomattox,377.2,VA
Texas,Hartley,376.7,TX
Oklahoma,Texas,376.7,OK
Arkansas,Sevier,376.6,AR
Nebraska,Seward,376.2,NE
North Dakota,Ransom,375.6,ND
Michigan,Charlevoix,375.3,MI
Colorado,Ouray,375.1,CO
Virginia,Fauquier,375.0,VA
Michigan,Menominee,374.9,MI
Texas,Reeves,374.4,TX
Wyoming,Lincoln,374.3,WY
Nevada,Storey,374.1,NV
South Carolina,Saluda,373.9,SC
Nebraska,Morrill,373.9,NE
California,Monterey,373.8,CA
California,Colusa,373.6,CA
Virginia,Pittsylvania,373.4,VA
Virginia,Smyth,373.4,VA
Ohio,Noble,373.4,OH
Oklahoma,Murray,373.2,OK
Michigan,Ottawa,372.9,MI
Colorado,La Plata,372.7,CO
Texas,Jack,372.4,TX
South Carolina,Beaufort,372.1,SC
Hawaii,Kauai,372.1,HI
Nevada,Clark,372.0,NV
Washington,Spokane,372.0,WA
Colorado,Phillips,371.7,CO
California,Alameda,371.6,CA
Wyoming,Hot Springs,371.4,WY
Wisconsin,Pepin,371.1,WI
Texas,Lipscomb,370.9,TX
Texas,Roberts,370.7,TX
Texas,Jim Hogg,370.6,TX
New Mexico,Socorro,370.5,NM
Montana,Beaverhead,370.3,MT
Arizona,Navajo,370.0,AZ
Texas,Crane,369.9,TX
Texas,Garza,369.5,TX
Alabama,DeKalb,369.3,AL
Utah,Uintah,369.2,UT
Texas,Terrell,369.2,TX
California,Los Angeles,369.1,CA
North Dakota,Pierce,369.1,ND
Montana,Powder River,369.0,MT
Nevada,Eureka,368.7,NV
Nebraska,Sheridan,368.6,NE
Virginia,Loudoun,368.6,VA
Utah,Emery,368.5,UT
Alabama,Russell,368.3,AL
New Mexico,Luna,367.4,NM
Virginia,Dickenson,367.3,VA
Missouri,Douglas,366.2,MO
New Mexico,Curry,365.9,NM
Texas,Zapata,365.7,TX
Arizona,Greenlee,365.0,AZ
California,Kings,364.6,CA
Oklahoma,Woodward,364.6,OK
Texas,Cameron,364.6,TX
North Carolina,Alleghany,364.5,NC
Florida,Madison,364.0,FL
New Mexico,Quay,363.9,NM
California,Imperial,363.7,CA
Missouri,Maries,363.4,MO
Colorado,Las Animas,362.2,CO
Oregon,Grant,362.1,OR
California,Tulare,361.7,CA
Texas,Hidalgo,361.7,TX
Colorado,Rio Blanco,361.5,CO
Texas,Pecos,360.2,TX
New Mexico,Eddy,360.1,NM
California,Plumas,360.1,CA
North Carolina,Camden,359.6,NC
Michigan,Monroe,359.6,MI
South Dakota,Roberts,359.5,SD
Washington,Adams,359.4,WA
North Dakota,Divide,358.1,ND
Texas,Menard,357.7,TX
New Mexico,Cibola,357.6,NM
North Dakota,Stutsman,357.4,ND
California,Siskiyou,357.4,CA
Texas,Winkler,357.0,TX
North Dakota,Williams,356.8,ND
Virginia,Wise,356.2,VA
West Virginia,Hardy,356.2,WV
Montana,Chouteau,356.0,MT
Nebraska,Gosper,355.9,NE
New Mexico,Lea,355.7,NM
New Mexico,Santa Fe,355.6,NM
Colorado,Morgan,355.6,CO
Wyoming,Sublette,355.3,WY
Michigan,Schoolcraft,355.3,MI
Wyoming,Johnson,355.0,WY
Montana,Richland,354.9,MT
Texas,Webb,354.7,TX
Washington,Lincoln,354.1,WA
Florida,Washington,353.0,FL
Wisconsin,Pierce,352.9,WI
Montana,Blaine,352.7,MT
Colorado,Sedgwick,352.1,CO
New Mexico,Union,351.9,NM
Nebraska,Cheyenne,351.2,NE
South Carolina,Edgefield,350.7,SC
Utah,Rich,350.7,UT
Washington,Pend Oreille,350.5,WA
Oregon,Malheur,350.4,OR
Virginia,Prince William,350.2,VA
Virginia,Clarke,350.0,VA
North Dakota,Dickey,349.6,ND
Colorado,Park,349.1,CO
Wyoming,Uinta,349.0,WY
Washington,Garfield,349.0,WA
Utah,Piute,348.8,UT
West Virginia,Pendleton,348.4,WV
Colorado,Washington,348.2,CO
Michigan,Dickinson,348.0,MI
North Dakota,Steele,347.1,ND
Nevada,Humboldt,346.6,NV
Texas,Bailey,346.2,TX
Tennessee,Lincoln,345.4,TN
California,Inyo,345.4,CA
Utah,San Juan,345.0,UT
South Carolina,Jasper,344.4,SC
Virginia,Tazewell,344.2,VA
Washington,Stevens,343.7,WA
Georgia,Seminole,343.6,GA
Alabama,Lee,343.6,AL
Wyoming,Washakie,343.4,WY
Colorado,Dolores,343.2,CO
Texas,Kent,342.9,TX
Idaho,Camas,342.9,ID
California,Del Norte,342.4,CA
Colorado,Rio Grande,341.3,CO
New Mexico,Chaves,341.3,NM
New Mexico,Guadalupe,341.0,NM
South Dakota,Marshall,340.6,SD
Washington,Skamania,340.5,WA
Michigan,Ontonagon,340.3,MI
Wyoming,Goshen,340.2,WY
Ohio,Holmes,340.0,OH
North Dakota,McKenzie,339.8,ND
Oregon,Harney,339.2,OR
Texas,Castro,338.6,TX
Michigan,Baraga,337.8,MI
Colorado,Alamosa,337.3,CO
Virginia,Fairfax,337.1,VA
Oregon,Benton,336.5,OR
Idaho,Clark,336.3,ID
Colorado,Gunnison,334.7,CO
Nevada,Lincoln,334.5,NV
Texas,Ochiltree,334.3,TX
Texas,Gaines,334.0,TX
Texas,Willacy,334.0,TX
Colorado,Kit Carson,333.7,CO
Colorado,San Miguel,333.3,CO
Nevada,Elko,332.4,NV
Texas,Culberson,332.0,TX
California,Lassen,331.2,CA
Colorado,Logan,331.1,CO
Nebraska,Kimball,330.2,NE
Virginia,Russell,329.9,VA
Arizona,Coconino,329.4,AZ
Arizona,Graham,328.9,AZ
Colorado,Montezuma,328.6,CO
Georgia,Wheeler,328.4,GA
Arizona,Gila,327.9,AZ
New Mexico,Lincoln,326.1,NM
Michigan,Oceana,326.0,MI
Nebraska,Wheeler,325.8,NE
Texas,Parmer,325.3,TX
South Dakota,Ziebach,324.8,SD
Washington,Asotin,324.0,WA
New Mexico,San Juan,323.8,NM
Colorado,Custer,323.3,CO
Oregon,Sherman,323.2,OR
New Mexico,Catron,322.9,NM
Oregon,Lane,322.6,OR
New Mexico,Hidalgo,321.8,NM
North Dakota,Dunn,320.8,ND
Michigan,Gogebic,319.8,MI
Arizona,Santa Cruz,319.5,AZ
New Mexico,Roosevelt,319.5,NM
New Mexico,Grant,318.8,NM
North Carolina,Currituck,318.7,NC
Virginia,Arlington,318.7,VA
Florida,Jackson,318.6,FL
New Mexico,Taos,318.2,NM
New Mexico,San Miguel,318.1,NM
Colorado,Costilla,317.9,CO
Nebraska,Dawes,316.2,NE
Michigan,Muskegon,315.1,MI
Georgia,Clay,314.3,GA
Colorado,Eagle,314.2,CO
South Dakota,Perkins,312.1,SD
Colorado,Archuleta,311.9,CO
Virginia,Lee,311.7,VA
Colorado,Lake,311.6,CO
New Mexico,Mora,311.4,NM
Virginia,Washington,311.0,VA
Colorado,Yuma,309.5,CO
New Mexico,McKinley,305.9,NM
Virginia,Buchanan,305.5,VA
Colorado,Bent,304.8,CO
Nevada,Pershing,304.7,NV
New Mexico,Rio Arriba,302.9,NM
Arizona,Apache,301.3,AZ
California,Trinity,300.4,CA
Texas,Collingsworth,299.7,TX
Montana,Garfield,299.3,MT
Colorado,Crowley,298.6,CO
Oregon,Baker,298.0,OR
Washington,Ferry,298.0,WA
Colorado,Grand,296.3,CO
Michigan,Houghton,295.8,MI
New Mexico,Colfax,295.5,NM
Nevada,Lander,294.9,NV
Colorado,Pitkin,294.5,CO
North Carolina,Gates,293.7,NC
North Dakota,Adams,293.6,ND
Missouri,Scotland,293.6,MO
Texas,Presidio,293.0,TX
Texas,Sherman,292.9,TX
Texas,Brewster,292.7,TX
North Dakota,Logan,291.9,ND
South Dakota,Harding,291.8,SD
California,Mono,291.4,CA
California,Modoc,290.7,CA
South Dakota,Corson,289.4,SD
Nebraska,Stanton,288.3,NE
Montana,Daniels,287.7,MT
Colorado,Summit,287.5,CO
Colorado,Clear Creek,286.6,CO
Nevada,White Pine,279.6,NV
Colorado,Conejos,277.4,CO
South Dakota,Campbell,274.1,SD
Florida,Holmes,274.1,FL
Nebraska,Hooker,273.1,NE
Texas,Concho,272.6,TX
Texas,Throckmorton,272.4,TX
Wyoming,Niobrara,271.0,WY
Colorado,Gilpin,268.9,CO
California,Alpine,268.5,CA
Washington,Whitman,262.9,WA
Virginia,Scott,262.9,VA
Colorado,Saguache,262.9,CO
California,Sierra,259.6,CA
Oklahoma,Cimarron,239.6,OK
Nebraska,Sioux,228.6,NE
Oregon,Gilliam,226.4,OR
Michigan,Keweenaw,220.9,MI
North Dakota,Oliver,219.0,ND
Texas,Jeff Davis,208.0,TX
Colorado,Mineral,207.4,CO
Colorado,Hinsdale,182.3,CO
